 Iter.       Kinetic         ElecStat          ExchCorr           Total
    1  0.1088577311E+03 -0.1800031209E+03 -0.3213066478E+02 -0.1032760546E+03
    2  0.1097028158E+03 -0.1807728667E+03 -0.3225589298E+02 -0.1033259439E+03
    3  0.1112872972E+03 -0.1821003719E+03 -0.3251029589E+02 -0.1033233706E+03
    4  0.1104823442E+03 -0.1814321029E+03 -0.3239407122E+02 -0.1033438298E+03
    5  0.1097433482E+03 -0.1808054364E+03 -0.3228741002E+02 -0.1033494982E+03
    6  0.1097642032E+03 -0.1808237214E+03 -0.3228998663E+02 -0.1033495049E+03
    7  0.1098009780E+03 -0.1808559842E+03 -0.3229449509E+02 -0.1033495013E+03
    8  0.1098056353E+03 -0.1808600935E+03 -0.3229503969E+02 -0.1033494978E+03
    9  0.1098232547E+03 -0.1808756493E+03 -0.3229708505E+02 -0.1033494797E+03
   10  0.1098236544E+03 -0.1808760098E+03 -0.3229712328E+02 -0.1033494786E+03
   11  0.1098231173E+03 -0.1808755451E+03 -0.3229705093E+02 -0.1033494787E+03
   12  0.1098222313E+03 -0.1808747615E+03 -0.3229694978E+02 -0.1033494800E+03
